Species.ID.number,Kingdom,Phylum,Class,Order,Family,Species,Red.List.status
22695605,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter brachyurus,VU
22695494,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter butleri,VU
22695659,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter gundlachi,EN
22695553,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter imitator,VU
22695547,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter luteoschistaceus,VU
22695561,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter princeps,VU
22696042,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Aquila adalberti,VU
22696048,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Aquila heliaca,VU
62183030,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Bermuteo avivorus,EX
22695909,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Buteo galapagoensis,VU
22695886,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Buteo ridgwayi,CR
22732235,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Buteo socotraensis,VU
22695855,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Buteogallus coronatus,EN
22695763,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Buteogallus lacernulatus,VU
22728485,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Chondrohierax wilsonii,CR
22732272,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Circaetus beaudouini,VU
22695368,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Circus macrosceles,VU
22728310,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Circus maillardi,EN
22695379,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Circus maurus,VU
22696027,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Clanga clanga,VU
22729779,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Clanga hastata,VU
22695732,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Cryptoleucopteryx plumbea,VU
22695336,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Eutriorchis astur,EN
22695189,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Gyps africanus,EN
22695194,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Gyps bengalensis,CR
22695225,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Gyps coprotheres,VU
22729731,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Gyps indicus,CR
22695207,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Gyps rueppelli,EN
22729460,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Gyps tenuirostris,CR
22695130,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Haliaeetus leucoryphus,VU
22695147,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Haliaeetus pelagicus,VU
22695105,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Haliaeetus sanfordi,VU
22695121,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Haliaeetus vociferoides,CR
22696007,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Harpyopsis novaeguineae,VU
22694980,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Henicopernis infuscatus,VU
22724659,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Leptodon forbesi,CR
22695185,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Necrosyrtes monachus,EN
22695180,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Neophron percnopterus,EN
22696165,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Nisaetus bartelsi,EN
22732096,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Nisaetus floris,CR
22696186,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Nisaetus nanus,VU
45015567,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Nisaetus philippensis,EN
22734083,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Nisaetus pinskeri,EN
22696012,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Pithecophaga jefferyi,CR
22696116,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Polemaetus bellicosus,VU
22695789,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Pseudastur occidentalis,EN
22695254,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Sarcogyps calvus,CR
22695306,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Spilornis kinabaluensis,VU
22696207,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Spizaetus isidori,EN
22695238,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Torgos tracheliotos,VU
22695250,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Trigonoceps occipitalis,VU
22696221,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,SAGITTARIIDAE,Sagittarius serpentarius,VU
22729490,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Alopochen kervazoi,EX
22728658,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Alopochen mauritiana,EX
22727280,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas albogularis,VU
22680280,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas aucklandica,VU
22680252,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas bernieri,EN
22728303,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas chlorotis,EN
22680306,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas eatoni,VU
22680203,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas laysanensis,CR
22680214,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas luzonica,VU
22728666,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas marecula,EX
22680225,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas melleri,EN
22724580,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas nesiotis,EN
22728662,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas theodori,EX
22680199,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas wyvilliana,EN
22679869,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anser cygnoid,VU
22679886,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anser erythropus,VU
22680064,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Asarcornis scutulata,EN
